                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.92056,                0.76578,                 1.0267,                0.84376,                0.83832,                0.92319,                0.71807,                0.83289,                0.66834,                0.96665,              0.0092773,              0.0092773,              0.0092773
                     75,                 0.9162,                0.76866,                  1.026,                0.86662,                0.81704,                0.92239,                0.71908,                0.81423,                0.68299,                0.94341,              0.0092674,              0.0092674,              0.0092674
                     76,                0.91955,                0.77249,                 1.0299,                0.85481,                0.83832,                0.91448,                 0.7339,                0.80188,                0.69412,                0.96055,              0.0092575,              0.0092575,              0.0092575
                     77,                0.91482,                0.77447,                 1.0154,                0.80106,                0.86802,                0.91414,                0.72953,                0.80704,                0.66832,                0.95463,              0.0092476,              0.0092476,              0.0092476
                     78,                0.90427,                0.74659,                 1.0129,                0.85309,                0.83451,                0.91182,                0.71649,                0.77895,                0.70116,                 0.9466,              0.0092377,              0.0092377,              0.0092377
                     79,                0.90483,                0.75187,                 1.0142,                0.82601,                0.85287,                 0.9191,                0.73641,                0.77711,                0.64463,                0.93829,              0.0092278,              0.0092278,              0.0092278
                     80,                 0.9102,                 0.7548,                 1.0166,                0.87187,                0.83832,                0.92748,                 0.7264,                0.81506,                0.67832,                0.95077,              0.0092179,              0.0092179,              0.0092179
                     81,                0.89943,                0.75717,                 1.0167,                0.84093,                0.82308,                0.92051,                0.72707,                0.79443,                0.67088,                0.95152,               0.009208,               0.009208,               0.009208
                     82,                0.90617,                0.75469,                 1.0096,                0.82147,                0.89222,                0.92818,                0.74444,                0.78206,                0.65307,                 0.9502,              0.0091981,              0.0091981,              0.0091981
                     83,                0.91255,                0.76494,                 1.0168,                0.83674,                0.83234,                0.92006,                0.72605,                0.79251,                0.66574,                0.94451,              0.0091882,              0.0091882,              0.0091882
                     84,                0.92094,                0.78113,                 1.0178,                0.86484,                0.84294,                0.93619,                0.74443,                0.80288,                0.64419,                0.94715,              0.0091783,              0.0091783,              0.0091783
                     85,                0.90501,                 0.7392,                 1.0173,                0.86135,                0.86826,                0.92835,                0.72697,                0.80879,                0.67614,                 0.9496,              0.0091684,              0.0091684,              0.0091684
                     86,                0.91583,                0.76327,                 1.0232,                0.88471,                0.82711,                0.92608,                0.73323,                 0.7642,                0.66637,                0.95047,              0.0091585,              0.0091585,              0.0091585
                     87,                0.91573,                0.75597,                 1.0145,                0.87014,                0.84263,                0.92895,                0.73555,                 0.7853,                0.65294,                 0.9421,              0.0091486,              0.0091486,              0.0091486
                     88,                0.89368,                0.74433,                 1.0115,                0.86439,                0.84431,                0.92747,                0.74151,                0.76203,                0.63566,                0.93979,              0.0091387,              0.0091387,              0.0091387
                     89,                0.90558,                0.75102,                 1.0121,                0.80956,                0.86826,                0.91407,                   0.73,                0.79812,                0.67835,                 0.9526,              0.0091288,              0.0091288,              0.0091288
                     90,                0.90319,                0.74496,                 1.0146,                0.83672,                0.83234,                0.92114,                0.73726,                0.74951,                0.65755,                0.94052,              0.0091189,              0.0091189,              0.0091189
                     91,                0.89552,                0.74484,                 1.0104,                0.84216,                0.83071,                0.92491,                0.73702,                0.76445,                0.65004,                0.92789,               0.009109,               0.009109,               0.009109
                     92,                0.89315,                0.74346,                 1.0119,                0.86542,                0.80862,                0.91879,                0.74352,                0.76779,                0.66047,                0.93023,              0.0090991,              0.0090991,              0.0090991
                     93,                0.88968,                0.74444,                 1.0071,                0.85021,                 0.8503,                0.93249,                0.75378,                0.77869,                0.64084,                0.93792,              0.0090892,              0.0090892,              0.0090892
                     94,                0.88295,                0.74163,                 1.0102,                0.84385,                0.84431,                0.92537,                0.73726,                0.76922,                0.66124,                 0.9424,              0.0090793,              0.0090793,              0.0090793
                     95,                0.89925,                 0.7441,                 1.0117,                0.84003,                0.86228,                0.93213,                 0.7478,                0.77425,                0.63533,                0.93962,              0.0090694,              0.0090694,              0.0090694
                     96,                0.88581,                0.73937,                 1.0076,                0.86519,                0.80707,                0.92955,                0.73203,                0.78115,                0.65509,                0.92636,              0.0090595,              0.0090595,              0.0090595
                     97,                0.88917,                0.73577,                 1.0057,                  0.874,                0.83832,                0.92323,                0.74887,                 0.7442,                0.64121,                0.92965,              0.0090496,              0.0090496,              0.0090496
                     98,                0.89508,                 0.7409,                 1.0171,                0.82009,                0.87346,                0.92414,                0.74155,                0.75033,                0.65041,                0.93261,              0.0090397,              0.0090397,              0.0090397
                     99,                0.88155,                0.72127,                0.99807,                0.82333,                0.85629,                0.92291,                0.74801,                0.76842,                0.63803,                0.94361,              0.0090298,              0.0090298,              0.0090298
                    100,                0.88982,                0.73979,                 1.0096,                0.84762,                0.84431,                0.92051,                0.73405,                0.78569,                0.66372,                0.93802,              0.0090199,              0.0090199,              0.0090199
                    101,                0.89122,                0.74278,                 1.0067,                0.82283,                0.88024,                0.92278,                0.74438,                 0.7441,                 0.6502,                0.93636,                0.00901,                0.00901,                0.00901
                    102,                0.89925,                0.74521,                  1.009,                0.90305,                0.78091,                0.92116,                0.74317,                0.74696,                0.66302,                0.92703,              0.0090001,              0.0090001,              0.0090001
                    103,                0.89079,                0.73933,                 1.0138,                0.81529,                0.85629,                0.92702,                0.74705,                0.74656,                0.64443,                0.92859,              0.0089902,              0.0089902,              0.0089902
                    104,                 0.8782,                0.73097,                 1.0022,                0.86189,                0.84431,                0.91951,                0.74797,                0.73888,                0.63637,                0.93317,              0.0089803,              0.0089803,              0.0089803
                    105,                0.89249,                0.73114,                 1.0098,                0.85141,                0.85776,                0.92774,                0.74238,                0.75647,                0.65455,                 0.9446,              0.0089704,              0.0089704,              0.0089704
                    106,                0.88023,                0.73769,                 1.0048,                0.85788,                0.83832,                0.93001,                 0.7433,                0.77318,                0.63356,                0.94338,              0.0089605,              0.0089605,              0.0089605
                    107,                 0.8857,                0.72469,                 1.0036,                0.83408,                0.86826,                0.92445,                0.74929,                0.74815,                0.63837,                0.93482,              0.0089506,              0.0089506,              0.0089506
                    108,                0.88299,                0.71825,                 1.0029,                0.83288,                0.87425,                0.92434,                0.74553,                0.74875,                0.64349,                0.93771,              0.0089407,              0.0089407,              0.0089407
                    109,                0.88547,                0.71883,                 1.0039,                0.86595,                0.85098,                0.92579,                0.74399,                 0.7721,                0.64687,                0.94199,              0.0089308,              0.0089308,              0.0089308
                    110,                0.88063,                 0.7183,                 1.0053,                0.84188,                0.86083,                0.92674,                0.75765,                0.73064,                0.63231,                 0.9312,              0.0089209,              0.0089209,              0.0089209
                    111,                0.87931,                0.72978,                0.99571,                0.81441,                0.86716,                0.91876,                0.73487,                0.75927,                0.65581,                0.93444,               0.008911,               0.008911,               0.008911
                    112,                 0.8786,                0.71909,                 1.0037,                0.83075,                0.87425,                0.93165,                 0.7492,                0.77314,                0.61959,                0.94071,              0.0089011,              0.0089011,              0.0089011
                    113,                0.88143,                0.72987,                 1.0023,                0.84419,                0.84431,                0.92541,                0.75255,                0.72577,                 0.6385,                0.93625,              0.0088912,              0.0088912,              0.0088912
                    114,                0.88541,                 0.7222,                 1.0033,                0.85284,                 0.8503,                0.93003,                0.75343,                0.73761,                0.62395,                0.93946,              0.0088813,              0.0088813,              0.0088813
                    115,                 0.8857,                0.71607,                 1.0036,                0.81524,                0.89836,                 0.9265,                 0.7516,                0.75092,                0.65108,                0.94525,              0.0088714,              0.0088714,              0.0088714
                    116,                0.87465,                0.72089,                0.99953,                 0.7991,                0.90506,                0.92587,                 0.7548,                0.74675,                0.63609,                0.93412,              0.0088615,              0.0088615,              0.0088615
                    117,                0.87747,                0.72379,                  0.998,                0.87057,                0.81437,                0.92267,                0.75873,                0.72241,                0.63836,                0.92439,              0.0088516,              0.0088516,              0.0088516
                    118,                0.87914,                0.72079,                0.99469,                0.80503,                0.89222,                  0.925,                0.75489,                0.74782,                0.64491,                0.92555,              0.0088417,              0.0088417,              0.0088417
                    119,                0.87516,                0.72121,                 1.0017,                0.83925,                0.84412,                 0.9178,                0.73326,                0.73941,                0.64553,                0.93254,              0.0088318,              0.0088318,              0.0088318
                    120,                0.87568,                 0.7153,                 1.0029,                0.81009,                0.86228,                0.92633,                0.75128,                0.73155,                0.63716,                0.92196,              0.0088219,              0.0088219,              0.0088219
                    121,                0.86539,                0.72033,                0.99428,                 0.8543,                0.84264,                0.92866,                 0.7562,                0.75457,                0.63725,                0.92547,               0.008812,               0.008812,               0.008812
                    122,                0.87329,                0.71981,                0.99903,                0.83371,                0.86826,                0.93001,                0.75253,                0.74517,                0.63369,                0.92554,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.8571,                0.71077,                0.99472,                0.80514,                0.89222,                0.92517,                0.75377,                0.73185,                0.62697,                0.92788,              0.0087922,              0.0087922,              0.0087922
                    124,                 0.8713,                0.71633,                  1.005,                0.85067,                0.82036,                0.92184,                 0.7427,                0.74837,                 0.6443,                0.92807,              0.0087823,              0.0087823,              0.0087823
                    125,                0.86177,                 0.7114,                 1.0019,                0.79984,                0.88532,                0.93008,                0.74947,                0.74797,                0.62588,                0.92805,              0.0087724,              0.0087724,              0.0087724
                    126,                0.87566,                0.71603,                  1.001,                0.86398,                0.83234,                0.92747,                0.75055,                0.71781,                 0.6352,                0.91613,              0.0087625,              0.0087625,              0.0087625
                    127,                0.85639,                0.71571,                0.99632,                0.82184,                0.85627,                0.92342,                0.75306,                0.72037,                0.62065,                0.91593,              0.0087526,              0.0087526,              0.0087526
                    128,                0.86118,                0.71486,                0.99725,                0.82124,                0.88623,                0.92385,                0.74595,                0.74236,                0.62785,                0.92894,              0.0087427,              0.0087427,              0.0087427
                    129,                0.86681,                0.70876,                0.99282,                0.80002,                0.88623,                0.92112,                0.73978,                0.75712,                0.63746,                0.93495,              0.0087328,              0.0087328,              0.0087328
                    130,                0.85938,                0.71139,                0.99342,                0.78634,                0.90357,                0.91203,                0.73774,                 0.7441,                0.63402,                0.92913,              0.0087229,              0.0087229,              0.0087229
                    131,                0.86101,                0.70306,                0.99482,                0.79141,                0.86826,                0.91564,                0.73835,                0.73625,                0.64189,                0.91889,               0.008713,               0.008713,               0.008713
                    132,                0.86042,                0.71069,                0.99066,                0.79093,                0.86084,                0.91864,                0.73267,                0.74063,                 0.6522,                0.92709,              0.0087031,              0.0087031,              0.0087031
                    133,                0.87044,                0.71282,                  1.003,                0.83586,                0.88433,                0.93212,                0.75346,                0.73891,                0.62859,                0.92727,              0.0086932,              0.0086932,              0.0086932
                    134,                0.85351,                0.71412,                0.99189,                0.81609,                0.85027,                0.92683,                0.74448,                0.73865,                0.62838,                0.92499,              0.0086833,              0.0086833,              0.0086833
                    135,                0.85736,                0.69056,                0.99004,                 0.7936,                0.89792,                0.92476,                0.74935,                0.75003,                0.64093,                0.93263,              0.0086734,              0.0086734,              0.0086734
                    136,                0.85273,                 0.7033,                0.98757,                0.78456,                0.89408,                0.91465,                0.73612,                0.73995,                0.64763,                 0.9329,              0.0086635,              0.0086635,              0.0086635
                    137,                0.85969,                0.70154,                0.99666,                0.82794,                0.87425,                0.92183,                0.74835,                0.72717,                0.62975,                0.92527,              0.0086536,              0.0086536,              0.0086536
                    138,                0.86471,                0.71894,                0.99549,                0.79473,                0.90413,                0.92716,                0.75355,                0.73409,                0.62742,                0.92392,              0.0086437,              0.0086437,              0.0086437
                    139,                 0.8695,                0.69893,                0.99399,                0.82753,                0.86228,                0.92901,                0.74972,                0.75284,                0.61575,                0.92283,              0.0086338,              0.0086338,              0.0086338
                    140,                0.85812,                0.71284,                0.99106,                0.88611,                0.79202,                0.93156,                0.74944,                0.74611,                0.62805,                0.92802,              0.0086239,              0.0086239,              0.0086239
                    141,                0.85393,                0.68913,                0.99319,                 0.8052,                0.89105,                0.92122,                0.74375,                0.73836,                0.63246,                0.92986,               0.008614,               0.008614,               0.008614
                    142,                0.86708,                0.70245,                0.99839,                0.78361,                0.88907,                0.92354,                0.74538,                0.75586,                0.64597,                0.93608,              0.0086041,              0.0086041,              0.0086041
                    143,                0.85227,                0.69878,                0.98752,                0.78778,                0.91137,                0.92351,                0.73559,                0.74922,                0.63182,                 0.9433,              0.0085942,              0.0085942,              0.0085942
                    144,                0.85406,                0.71067,                0.99462,                0.77857,                0.90533,                0.92596,                0.74773,                0.74295,                0.63258,                0.93275,              0.0085843,              0.0085843,              0.0085843
                    145,                0.86458,                  0.704,                0.99267,                0.89152,                0.81437,                0.92666,                0.75131,                 0.7407,                0.63121,                0.92771,              0.0085744,              0.0085744,              0.0085744
                    146,                0.87378,                0.71105,                0.99409,                0.82913,                0.87168,                0.92691,                0.74933,                0.73746,                 0.6288,                 0.9176,              0.0085645,              0.0085645,              0.0085645
                    147,                0.85369,                0.70122,                0.99234,                0.80325,                0.89222,                0.92637,                0.75329,                0.72921,                0.62544,                0.92313,              0.0085546,              0.0085546,              0.0085546
                    148,                0.85676,                0.69601,                0.99119,                0.82783,                0.87425,                0.92521,                0.75671,                0.72896,                0.62436,                0.92688,              0.0085447,              0.0085447,              0.0085447
                    149,                0.85397,                0.68942,                0.99038,                0.82509,                0.87568,                0.92065,                0.75321,                0.73034,                0.62395,                0.92396,              0.0085348,              0.0085348,              0.0085348
                    150,                0.83632,                0.68581,                0.98217,                0.82043,                0.88623,                0.92019,                0.74622,                0.72363,                0.62039,                0.92395,              0.0085249,              0.0085249,              0.0085249
                    151,                0.85293,                0.70132,                0.98813,                0.84444,                0.87764,                0.92538,                0.76054,                0.71117,                0.60767,                0.91529,               0.008515,               0.008515,               0.008515
                    152,                0.84347,                0.69152,                0.99006,                0.83987,                0.84431,                0.92837,                0.77205,                0.69873,                0.61469,                0.91925,              0.0085051,              0.0085051,              0.0085051
                    153,                0.85274,                0.69508,                0.98899,                0.78511,                0.89699,                0.92719,                 0.7585,                0.72728,                0.61796,                0.92769,              0.0084952,              0.0084952,              0.0084952
                    154,                0.85593,                0.68996,                0.99319,                0.79984,                0.88024,                0.92888,                0.75702,                0.73868,                0.61954,                0.93004,              0.0084853,              0.0084853,              0.0084853
                    155,                0.84464,                0.68869,                0.98249,                0.87266,                0.79641,                0.92474,                0.75566,                0.72453,                0.63345,                0.92455,              0.0084754,              0.0084754,              0.0084754
                    156,                0.84252,                0.68594,                0.97916,                0.83317,                0.83735,                0.92449,                0.74511,                0.73201,                0.63231,                0.92458,              0.0084655,              0.0084655,              0.0084655
